? checkElements(11, 28, 40)

N = 11

[a, b] = [1, 2]    1.2460303686601168300759351969376350541 E-44
[a, b] = [1, 3]    8.422607295281974552 E-46
[a, b] = [1, 4]    -8.695620750871611566 E-45
[a, b] = [1, 5]    1.6091827294560385189 E-44
[a, b] = [1, 6]    2.938575409516428590 E-44
[a, b] = [1, 7]    -2.2978936799279633091419449590246971498 E-44
[a, b] = [1, 8]    1.8604847664098870935402109704283137101 E-44
[a, b] = [2, 2]    5.439078087992929123 E-59
[a, b] = [2, 3]    -3.615423376946444429 E-44
[a, b] = [2, 4]    -7.3490746221510686277247382097812355582 E-45
[a, b] = [2, 5]    9.387518314230257931 E-45
[a, b] = [2, 6]    1.0799325214282827615384020562047508837 E-46
[a, b] = [2, 7]    4.740828279136936058 E-58
[a, b] = [2, 8]    1.4359571415365546472160514234225275208 E-45
[a, b] = [3, 3]    6.942851283660238613 E-58
[a, b] = [3, 4]    7.764985207619058860 E-45
[a, b] = [3, 5]    2.6880386030890634408668203381925827667 E-44
[a, b] = [3, 6]    -1.7372418279630717247474434901393047819 E-45
[a, b] = [3, 7]    -3.771817286144126165 E-44
[a, b] = [3, 8]    -8.563409567562136375 E-45
[a, b] = [4, 4]    -1.5157841066164719548 E-58
[a, b] = [4, 5]    -7.741017765836592313 E-45
[a, b] = [4, 6]    1.5521785020411521109 E-58
[a, b] = [4, 7]    -2.0329025218434850969 E-44
[a, b] = [4, 8]    7.749303755599961563 E-59
[a, b] = [5, 5]    2.513502790282262315 E-59
[a, b] = [5, 6]    -1.0489357969408309821 E-58
[a, b] = [5, 7]    2.807004298427184156 E-44
[a, b] = [5, 8]    -1.8316976463328587752 E-44
[a, b] = [6, 6]    -2.6143605574970877210 E-58
[a, b] = [6, 7]    3.945541468940153319 E-44
[a, b] = [6, 8]    -1.5439503936804533657 E-45
[a, b] = [7, 7]    -3.124500693680696508 E-59
[a, b] = [7, 8]    4.3740891351806832708374688911256702823 E-45
[a, b] = [8, 8]    0.E-118

Cycle #2
[a, b] = [1, 1]    -3.458985013661931941 E-58
[a, b] = [1, 2]    2.3196212962524420212378650137570152334 E-45
[a, b] = [1, 3]    -7.017478273202501495 E-45
[a, b] = [1, 4]    2.1676717627075870592 E-45
[a, b] = [1, 5]    2.4274786491529343839 E-45
[a, b] = [1, 6]    -1.4260367300258961038 E-44
[a, b] = [1, 7]    2.2334267801411501030248751889493189992 E-44
[a, b] = [1, 8]    -1.6350388236471354705069603561627840508 E-44
[a, b] = [2, 2]    -3.908205398142390623 E-58
[a, b] = [2, 3]    2.0095089621878872638 E-44
[a, b] = [2, 4]    7.8441515241649575401135920624761289243 E-45
[a, b] = [2, 5]    1.2874747504468610114 E-44
[a, b] = [2, 6]    -2.8911876184117604125959938899349649816 E-45
[a, b] = [2, 7]    3.209923232897777923 E-58
[a, b] = [2, 8]    6.1094116361198157907284829258526340814 E-46
[a, b] = [3, 3]    -6.084936857306822274 E-58
[a, b] = [3, 4]    1.3473339501819006091 E-44
[a, b] = [3, 5]    -2.7998876758524488207539636045568077975 E-44
[a, b] = [3, 6]    7.1884703762643137854620282358442260630 E-45
[a, b] = [3, 7]    1.4082563938308312828 E-44
[a, b] = [3, 8]    1.4558035410704206896 E-44
[a, b] = [4, 4]    7.838131373802474834 E-59
[a, b] = [4, 5]    1.7398021214050720235 E-44
[a, b] = [4, 6]    -1.2243287571083699817 E-58
[a, b] = [4, 7]    4.835265078426086081 E-45
[a, b] = [4, 8]    -4.110740168280335473 E-59
[a, b] = [5, 5]    -8.602541948183463378 E-59
[a, b] = [5, 6]    5.601593581132917866 E-59
[a, b] = [5, 7]    -2.2233286292476716705 E-44
[a, b] = [5, 8]    1.3440841347819911005 E-44
[a, b] = [6, 6]    1.7474481537255105986 E-58
[a, b] = [6, 7]    -2.1271034314574861706 E-44
[a, b] = [6, 8]    2.2802464548013751620855087202372391983 E-45
[a, b] = [7, 7]    -5.883222728081389707 E-58
[a, b] = [7, 8]    -5.9838795649416623726137790181378082606 E-45
[a, b] = [8, 8]    0.E-118

N = 17

Cycle #1
[a, b] = [1, 1]    5.212113313231552692 E-58
[a, b] = [1, 2]    -1.0081032946437049206495240615934244984 E-44
[a, b] = [1, 3]    5.065318070639202240 E-44
[a, b] = [1, 4]    3.126180640007747315 E-45
[a, b] = [1, 5]    -1.9931979057188992192 E-44
[a, b] = [1, 6]    2.586463757949896318 E-44
[a, b] = [1, 7]    -4.608716138483681414 E-44
[a, b] = [1, 8]    8.308180591703568354 E-58
[a, b] = [2, 2]    -3.1354831885601507068 E-58
[a, b] = [2, 3]    -7.714945011357821998 E-45
[a, b] = [2, 4]    3.8665311394798268802389372380458491292 E-44
[a, b] = [2, 5]    1.6167205032719125240 E-44
[a, b] = [2, 6]    -2.0244071001210183853 E-44
